City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Quang Ngai,VN,75.29,few clouds,15.1167,108.8,Central Hotel
648,Misratah,LY,77.92,clear sky,32.3754,15.0925,فندق الماسة
657,Ratnagiri,IN,79.12,moderate rain,16.9833,73.3,Hotel Landmark
659,Gushikawa,JP,79.83,clear sky,26.3544,127.8686,Kirari Guest House
662,Mocuba,MZ,81.1,broken clouds,-16.8392,36.9856,Phama Lodge
663,Bilma,NE,94.82,clear sky,18.6853,12.9164,Expeditions Ténére voyages
675,Panaba,MX,92.25,few clouds,21.2833,-88.2667,Posada rosario
676,Cacador,BR,84.76,clear sky,-26.7753,-51.015,Hotel Weber
679,Naze,JP,77.56,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
681,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
683,Canavieiras,BR,79.65,broken clouds,-15.675,-38.9472,Bahiadomizil
