City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Roma,US,43.2128,-75.4557,73.4,92,100,1.01,overcast clouds
94,Lyubytino,RU,58.8122,33.3922,45.64,92,17,5.08,few clouds
95,Kaitangata,NZ,-46.2817,169.8464,39.92,85,11,5.95,few clouds
96,Palmer,US,42.1584,-72.3287,70.07,56,74,7.29,broken clouds
97,Dutlwe,BW,-23.9833,23.9,80.44,14,9,8.84,clear sky
98,Durusu,TR,41.3053,28.6767,69.98,74,0,11.99,clear sky
99,Tongchuan,CN,35.0806,109.0897,61.27,97,100,2.37,light rain
100,Ulaangom,MN,49.9811,92.0667,34.97,28,33,6.06,scattered clouds
101,Lengshuitan,CN,26.4111,111.5956,80.94,73,60,3.74,light rain
102,Iqaluit,CA,63.7506,-68.5145,35.33,74,75,11.99,broken clouds
103,Singaraja,ID,-8.112,115.0882,77.97,79,81,5.53,broken clouds
104,Kongoussi,BF,13.3258,-1.5347,96.19,23,38,5.32,scattered clouds
105,Busselton,AU,-33.65,115.3333,49.98,93,8,7.96,clear sky
106,Sassandra,CI,4.95,-6.0833,78.3,87,97,6.13,overcast clouds
107,Dalvik,IS,65.9702,-18.5286,44.53,84,55,7.87,broken clouds
108,Tarata,BO,-17.6167,-66.0167,78.22,29,1,7.34,clear sky
109,Chumikan,RU,54.7183,135.315,46.99,88,100,8.03,light rain
110,Souillac,MU,-20.5167,57.5167,72.36,73,40,13.8,scattered clouds
111,Kandrian,PG,-6.2167,149.55,75.85,92,94,4.05,light rain
112,Taguatinga,BR,-12.3857,-46.5711,102.94,14,1,5.26,clear sky
113,Lensk,RU,60.7253,114.9278,34.86,100,100,6.91,moderate rain
114,Mizdah,LY,31.4451,12.9801,81.86,23,0,9.35,clear sky
115,Kyra,RU,49.5776,111.9753,38.8,87,82,4.34,light rain
116,Aklavik,CA,68.2191,-135.0107,25.63,93,20,2.3,few clouds
117,Esperance,AU,-33.8667,121.9,55.24,81,96,18.28,overcast clouds
118,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,11.5,clear sky
119,Kupang,ID,-10.1667,123.5833,75.79,86,82,6.82,broken clouds
120,Avarua,CK,-21.2078,-159.775,69.85,94,40,1.14,scattered clouds
121,Kruisfontein,ZA,-34.0033,24.7314,61.88,88,88,15.19,overcast clouds
122,Poshekhonye,RU,58.4993,39.1353,46.69,88,100,10.22,overcast clouds
123,Tres Arroyos,AR,-38.3739,-60.2798,59.63,35,30,6.89,scattered clouds
124,Bandarbeyla,SO,9.4942,50.8122,78.39,83,35,18.88,scattered clouds
125,Pithoragarh,IN,29.5833,80.2167,62.64,91,12,1.77,few clouds
126,Hilo,US,19.7297,-155.09,72.81,96,82,7.4,light rain
127,Carlsbad,US,33.1581,-117.3506,69.85,90,90,1.99,mist
128,New Ross,IE,52.3967,-6.9367,57.47,77,24,14.79,few clouds
129,Ulefoss,NO,59.2838,9.2646,60.33,98,100,7.72,moderate rain
130,Trabzon,TR,40.9167,39.8333,62.69,68,75,3.44,broken clouds
131,Nanortalik,GL,60.1432,-45.2371,36.37,63,1,6.26,clear sky
132,Milledgeville,US,33.0801,-83.2321,83.75,60,0,4.61,clear sky
133,Qasigiannguit,GL,68.8193,-51.1922,21.13,67,0,3.18,clear sky
134,Ovalle,CL,-30.5983,-71.2003,85.06,18,0,5.82,clear sky
135,Ullapool,GB,57.8987,-5.1604,52.75,85,98,16.4,overcast clouds
136,Qaanaaq,GL,77.484,-69.3632,25.09,68,100,5.46,overcast clouds
137,Fortuna,US,40.5982,-124.1573,64.9,63,75,4.0,broken clouds
138,Ponta Do Sol,PT,32.6667,-17.1,77.63,67,16,4.38,few clouds
139,Tabou,CI,4.423,-7.3528,76.5,89,100,7.72,light rain
140,Koumac,NC,-20.5667,164.2833,67.3,76,33,6.29,scattered clouds
141,Aguimes,ES,27.9054,-15.4461,78.66,74,20,27.63,few clouds
142,Isabela,PH,6.7085,121.9711,79.16,82,84,3.58,broken clouds
143,Mar Del Plata,AR,-38.0023,-57.5575,50.02,68,90,5.99,overcast clouds
144,Zhangye,CN,38.9342,100.4517,62.71,21,0,2.35,clear sky
145,Buluang,PH,13.3068,123.3425,77.38,93,97,2.62,overcast clouds
146,Nome,US,64.5011,-165.4064,30.45,89,27,4.43,scattered clouds
147,Axim,GH,4.8699,-2.2405,79.07,82,94,9.84,light rain
148,Iberia,US,29.9502,-91.7507,82.96,71,88,7.63,overcast clouds
149,Tazovskiy,RU,67.4667,78.7,33.96,76,30,2.86,scattered clouds
150,Valdez,EC,1.2492,-78.9831,79.7,79,85,10.56,overcast clouds
151,Sao Mateus Do Maranhao,BR,-4.0417,-44.475,96.26,31,59,5.37,broken clouds
152,Hvolsvollur,IS,63.7533,-20.2243,45.27,64,65,16.53,broken clouds
153,Lazaro Cardenas,MX,17.9583,-102.2,84.42,70,59,2.13,broken clouds
154,Faya,SA,18.3851,42.4509,75.31,27,67,3.33,broken clouds
155,Funtua,NG,11.5233,7.3081,81.48,49,28,3.4,scattered clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,75,19.57,broken clouds
157,Kamphaeng Phet,TH,16.25,99.5,74.05,95,100,2.59,light rain
158,Lasa,IT,46.6166,10.7002,68.74,75,86,5.57,light rain
159,Turayf,SA,31.6725,38.6637,88.05,25,0,6.91,clear sky
160,Grants Pass,US,42.439,-123.3284,66.79,85,90,1.01,overcast clouds
161,Dolinsk,RU,47.35,142.8,48.06,94,100,8.03,overcast clouds
162,Poum,NC,-20.2333,164.0167,70.75,70,47,9.04,scattered clouds
163,Faanui,PF,-16.4833,-151.75,79.18,76,11,18.14,few clouds
164,Gat,IL,31.61,34.7642,77.81,100,36,7.96,scattered clouds
165,Broome,US,42.2506,-75.833,75.06,58,70,4.0,broken clouds
